"الرابط","مرات الظهور","H2-١","طول H2-١","H2-٢","طول H2-٢","قابلية الأرشفة","حالة الأرشفة"
"https://dnmeg.com/","4","Item added to your cart","23","Discover","8","قابل للفهرسة",""
"https://dnmeg.com/collections/accessories","10","Item added to your cart","23","Filter:","7","قابل للفهرسة",""
"https://dnmeg.com/collections/all","7","Item added to your cart","23","CAIRO HEAT","10","قابل للفهرسة",""
"https://dnmeg.com/collections/winter","10","Item added to your cart","23","Filter:","7","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-9","7","Item added to your cart","23","Jeans 2.0","9","قابل للفهرسة",""
"https://dnmeg.com/collections/jeans","10","Item added to your cart","23","Filter:","7","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v2","7","Item added to your cart","23","TEE V2","6","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v1","7","Item added to your cart","23","TEE V1","6","قابل للفهرسة",""
"https://dnmeg.com/pages/contact","5","Item added to your cart","23","Contact form","12","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-1","7","Item added to your cart","23","Beanie 1.1","10","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-0","7","Item added to your cart","23","Beanie 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/key","7","Item added to your cart","23","KEY CHAIN 1.0","13","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-0","7","Item added to your cart","23","JERSEY 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-2","7","Item added to your cart","23","JERSEY 1.2","10","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-3","7","Item added to your cart","23","JERSEY 1.3","10","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0-pack-of-3","7","Item added to your cart","23","SOCKS 1.0 (PACK OF 3) up","24","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-grey","7","Item added to your cart","23","PERFECT BAGGY JEANS (GREY)","26","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-2","7","Item added to your cart","23","ZIP-UP 1.2","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-4","7","Item added to your cart","23","ZIP-UP 1.4","10","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-blue","7","Item added to your cart","23","PERFECT BAGGY JEANS (BLUE)","26","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-3","7","Item added to your cart","23","ZIP-UP 1.3","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-0","7","Item added to your cart","23","ZIP-UP 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-5","7","Item added to your cart","23","ZIP-UP 1.5","10","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1-pack-of-3","7","Item added to your cart","23","SOCKS 1.1 (PACK OF 3)","21","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-2","7","Item added to your cart","23","JEANS 1.2","9","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0","7","Item added to your cart","23","SOCKS 1.0","9","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1","7","Item added to your cart","23","SOCKS 1.1","9","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-6","7","Item added to your cart","23","JEANS 1.6","9","قابل للفهرسة",""
"https://dnmeg.com/products/cap-1-2","7","Item added to your cart","23","Cap 1.0","7","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-1","7","Item added to your cart","23","SLEEVELESS 1.1","14","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-0","7","Item added to your cart","23","SLEEVELESS 1.0","14","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-black","7","Item added to your cart","23","PERFECT BAGGY JEANS (BLACK)","27","قابل للفهرسة",""
