"الرابط","عدد الكلمات","عدد الجمل","متوسط عدد كلمات الجملة","درجة السهولة في القراية","سهولة القراية","أقرب حاجة شبه مكرر","عدد شبه المكرر","أقرب عنوان شبه في المعنى","تقييم التشابه في المعنى","عدد اللي شبه في المعنى","تقييم الارتباط الدلالي","كل الأخطاء اللغوية","أخطاء إملائية","أخطاء نحوية","Language","Hash","قابلية الأرشفة","حالة الأرشفة"
"https://dnmeg.com/","166","56","٢٫٩٦٤","١٠٠٫٠٠٠","سهل جدًا","","","","","","","","","","en","4822de3df2ebd37dface2cb8bc22bda5","قابل للفهرسة",""
"https://dnmeg.com/collections/accessories","326","126","٢٫٥٨٧","١٠٠٫٠٠٠","سهل جدًا","","","","","","","","","","en","d274dfc6b11acee64b6542dfd29b3888","قابل للفهرسة",""
"https://dnmeg.com/collections/all","347","131","٢٫٦٤٩","١٠٠٫٠٠٠","سهل جدًا","","","","","","","","","","en","ea85cffddd613018bb2571b8c528d4f7","قابل للفهرسة",""
"https://dnmeg.com/collections/winter","496","188","٢٫٦٣٨","١٠٠٫٠٠٠","سهل جدًا","","","","","","","","","","en","e948b1e3d52188a56d14fd76d642fad7","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-9","247","64","٣٫٨٥٩","٧٥٫٥٠٤","سهل شوية","","","","","","","","","","en","dcc52ed2abcd132fa481dda2b2b22244","قابل للفهرسة",""
"https://dnmeg.com/collections/jeans","314","116","٢٫٧٠٧","١٠٠٫٠٠٠","سهل جدًا","","","","","","","","","","en","41708df8d9c3d12a272c7ce3818aa96","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v2","234","60","٣٫٩٠٠","٨١٫٧٦١","سهل","","","","","","","","","","en","6a2969c2c2585dad78a46fc371ec05af","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v1","229","59","٣٫٨٨١","٨٢٫٠٩١","سهل","","","","","","","","","","en","720c673721aba123ca4519979c319dc6","قابل للفهرسة",""
"https://dnmeg.com/pages/contact","64","21","٣٫٠٤٨","٩٥٫٣٤٨","سهل جدًا","","","","","","","","","","en","9142e01589c7594baeaeedbec1ee32b4","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-1","242","66","٣٫٦٦٧","٨١٫٤٥٧","سهل","","","","","","","","","","en","2f1b60ffcc260d57a3be7c43e9e095b1","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-0","242","66","٣٫٦٦٧","٨١٫٤٥٧","سهل","","","","","","","","","","en","8a165cf9b8d0871bfa4afb9bb9e44a56","قابل للفهرسة",""
"https://dnmeg.com/products/key","224","60","٣٫٧٣٣","٨٧٫٨٥٤","سهل","","","","","","","","","","en","31ca2813209d3d33292e0f673b7f67ef","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-0","279","69","٤٫٠٤٣","٨٣٫٢٦٠","سهل","","","","","","","","","","en","e8455ed813a6e25265a5bf092a0aaa9c","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-2","273","68","٤٫٠١٥","٨٣٫١٤٢","سهل","","","","","","","","","","en","735c43ca13a47b47fbc8ac32a7369fc5","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-3","286","70","٤٫٠٨٦","٨٢٫٨٨٧","سهل","","","","","","","","","","en","b44a30192d49ca33d0942ba42b1b092d","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0-pack-of-3","265","68","٣٫٨٩٧","٨٥٫٧١٦","سهل","","","","","","","","","","en","1bf02f2533617fada18b5256382b51f4","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-grey","291","67","٤٫٣٤٣","٧٨٫٢٨٨","سهل شوية","","","","","","","","","","en","2408c4e5da616a543b4dc8e4e4c83103","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-2","290","73","٣٫٩٧٣","٧٦٫٧٧٨","سهل شوية","","","","","","","","","","en","20d2b8c550061c4d748159efb358ec9f","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-4","290","73","٣٫٩٧٣","٧٦٫٧٧٨","سهل شوية","","","","","","","","","","en","f50e0d1056f20e152a174fc411d9a503","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-blue","309","70","٤٫٤١٤","٧٩٫١٥١","سهل شوية","","","","","","","","","","en","f3dd4e7348f0baad9b2f94328ba163a0","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-3","293","74","٣٫٩٥٩","٧٧٫٥٠٤","سهل شوية","","","","","","","","","","en","9e1659a538ca776b2fe5331bc551a8d9","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-0","293","74","٣٫٩٥٩","٧٧٫٥٠٤","سهل شوية","","","","","","","","","","en","512d73d9f6c49db363967b376401df16","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-5","290","73","٣٫٩٧٣","٧٦٫٧٧٨","سهل شوية","","","","","","","","","","en","a15d0532f7401b127625bf188b15a477","قابل للفهرسة",""
