"الرابط","نوع المحتوى","كود الحالة","الحالة","قابلية الأرشفة","حالة الأرشفة","العنوان ١","طول العنوان ١","عرض العنوان ١ بيكسل","Meta Description ١","طول Meta Description ١","عرض Meta Description ١ بيكسل","Meta Keywords ١","طول Meta Keywords ١","H1-١","طول H1-١","H2-١","طول H2-١","H2-٢","طول H2-٢","Meta Robots ١","X-Robots-Tag ١","Meta Refresh ١","Canonical Link Element ١","rel=""next"" ١","rel=""prev"" ١","HTTP rel=""next"" ١","HTTP rel=""prev"" ١","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","التصنيف الكربوني","عدد الكلمات","عدد الجمل","متوسط عدد كلمات الجملة","درجة السهولة في القراية","سهولة القراية","نسبة النص","عمق الزحف","عمق الفولدر","تقييم اللينك","روابط داخله","روابط داخله فريدة","روابط داخله JS فريدة","% من الكل","روابط خارجة","روابط خارجة فريدة","روابط خارجة فريدة","روابط JS خارجة فريدة","روابط JS خارجة فريدة","روابط خارجية","أقرب حاجة شبه مكرر","عدد شبه المكرر","أخطاء إملائية","أخطاء نحوية","Hash","وقت الاستجابة","آخر تعديل","رابط التحويل","نوع التحويل","الكوكيز","Language","إصدار HTTP","Mobile Alternate Link","أقرب عنوان شبه في المعنى","تقييم التشابه في المعنى","عدد اللي شبه في المعنى","تقييم الارتباط الدلالي","الرابط المشفر","وقت الزحف"
"https://dnmeg.com/","text/html; charset=utf-8","200","OK","قابل للفهرسة","","DNM.EG","6","75","DRESS BEYOND LIMITS.","20","151","","0","DNM.EG","6","Item added to your cart","23","Discover","8","","","","https://dnmeg.com/","","","","","","182192","42381","42381","١٦٫٢٣٥","","166","56","٢٫٩٦٤","١٠٠٫٠٠٠","سهل جدًا","٠٫٥٧٦","0","0","","130","32","0","١٠٠٫٠٠٠","31","15","2","0","0","4","","","","","4822de3df2ebd37dface2cb8bc22bda5","٠٫٢٤٢","","","","","en","1.1","","","","","","https://dnmeg.com/","2026-03-11 14:11:39"
"https://dnmeg.com/policies/refund-policy","","0","متحجوب بـ robots.txt","غير قابل للفهرسة","متمنع بـ robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","٠٫٠٠٠","","0","","","","","٠٫٠٠٠","1","1","","32","32","0","١٠٠٫٠٠٠","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://dnmeg.com/policies/refund-policy","2026-03-11 14:11:41"
"https://dnmeg.com/search","","0","متحجوب بـ robots.txt","غير قابل للفهرسة","متمنع بـ robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","٠٫٠٠٠","","0","","","","","٠٫٠٠٠","1","0","","32","32","0","١٠٠٫٠٠٠","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://dnmeg.com/search","2026-03-11 14:11:41"
"https://dnmeg.com/cdn/shop/t/7/assets/component-predictive-search.css?v=118923337488134913561732668148","text/css","200","OK","غير قابل للفهرسة","اتعمله Canonicalisation","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","٠٫٠٠٠","","0","","","","","٠٫٠٠٠","1","5","","0","0","0","٠٫٠٠٠","0","0","0","0","0","0","","","","","","٠٫٠٧٨","Mon, 09 Mar 2026 08:12:20 GMT","","","","","1.1","","","","","","https://dnmeg.com/cdn/shop/t/7/assets/component-predictive-search.css?v=118923337488134913561732668148","2026-03-11 14:11:41"
"https://dnmeg.com/cdn/shop/files/star_back_pants.png?height=80&v=1732697331","image/png","200","OK","قابل للفهرسة","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3754","3754","3754","١٫٤٣٨","","0","","","","","٠٫٠٠٠","1","3","","0","0","0","٠٫٠٠٠","0","0","0","0","0","0","","","","","","٠٫٤٦٤","Fri, 06 Mar 2026 23:24:01 GMT","","","","","1.1","","","","","","https://dnmeg.com/cdn/shop/files/star_back_pants.png?height=80&v=1732697331","2026-03-11 14:11:41"
"https://dnmeg.com/collections/accessories","text/html; charset=utf-8","200","OK","قابل للفهرسة","","ACCESSORIES
 – DNM.EG","21","227","","0","0","","0","","0","Item added to your cart","23","Filter:","7","","","","https://dnmeg.com/collections/accessories","","","","","","186425","36048","36048","١٣٫٨٠٩","","326","126","٢٫٥٨٧","١٠٠٫٠٠٠","سهل جدًا","١٫١٦١","1","1","","72","32","0","١٠٠٫٠٠٠","44","19","2","0","0","3","","","","","d274dfc6b11acee64b6542dfd29b3888","٠٫٦٣٨","","","","","en","1.1","","","","","","https://dnmeg.com/collections/accessories","2026-03-11 14:11:41"
"https://dnmeg.com/policies/shipping-policy","","0","متحجوب بـ robots.txt","غير قابل للفهرسة","متمنع بـ robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","٠٫٠٠٠","","0","","","","","٠٫٠٠٠","1","1","","58","32","0","١٠٠٫٠٠٠","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://dnmeg.com/policies/shipping-policy","2026-03-11 14:11:42"
"https://dnmeg.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js","text/javascript","200","OK","غير قابل للفهرسة","اتعمله Canonicalisation","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","٠٫٠٠٠","","0","","","","","٠٫٠٠٠","1","5","","0","0","0","٠٫٠٠٠","0","0","0","0","0","0","","","","","","٠٫٤٤٢","Mon, 16 Feb 2026 11:45:09 GMT","","","","","1.1","","","","","","https://dnmeg.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js","2026-03-11 14:11:42"
"https://dnmeg.com/collections/all","text/html; charset=utf-8","200","OK","قابل للفهرسة","","Products
 – DNM.EG","18","178","","0","0","","0","","0","Item added to your cart","23","CAIRO HEAT","10","","","","https://dnmeg.com/collections/all","","","","","","197154","36320","36320","١٣٫٩١٤","","347","131","٢٫٦٤٩","١٠٠٫٠٠٠","سهل جدًا","١٫٠٤١","1","1","","66","32","0","١٠٠٫٠٠٠","43","22","2","0","0","3","","","","","ea85cffddd613018bb2571b8c528d4f7","٠٫٦٩١","","","","","en","1.1","","","","","","https://dnmeg.com/collections/all","2026-03-11 14:11:41"
"https://dnmeg.com/collections/winter","text/html; charset=utf-8","200","OK","قابل للفهرسة","","WINTER
 – DNM.EG","16","170","","0","0","","0","","0","Item added to your cart","23","Filter:","7","","","","https://dnmeg.com/collections/winter","","","","","","223583","38135","38135","١٤٫٦٠٩","","496","188","٢٫٦٣٨","١٠٠٫٠٠٠","سهل جدًا","١٫٣٧٩","1","1","","72","32","0","١٠٠٫٠٠٠","56","25","2","0","0","3","","","","","e948b1e3d52188a56d14fd76d642fad7","٠٫٣٢٩","","","","","en","1.1","","","","","","https://dnmeg.com/collections/winter","2026-03-11 14:11:42"
