"الرابط","مرات الظهور","العنوان ١","طول العنوان ١","عرض العنوان ١ بيكسل","قابلية الأرشفة","حالة الأرشفة"
"https://dnmeg.com/","1","DNM.EG","6","75","قابل للفهرسة",""
"https://dnmeg.com/collections/accessories","1","ACCESSORIES
 – DNM.EG","21","227","قابل للفهرسة",""
"https://dnmeg.com/collections/all","1","Products
 – DNM.EG","18","178","قابل للفهرسة",""
"https://dnmeg.com/collections/winter","1","WINTER
 – DNM.EG","16","170","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-9","1","Jeans 2.0
 – DNM.EG","19","184","قابل للفهرسة",""
"https://dnmeg.com/collections/jeans","1","Jeans
 – DNM.EG","15","151","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v2","1","TEE V2
 – DNM.EG","16","161","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v1","1","TEE V1
 – DNM.EG","16","161","قابل للفهرسة",""
"https://dnmeg.com/pages/contact","1","Contact
 – DNM.EG","17","168","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-1","1","Beanie 1.1
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-0","1","Beanie 1.0
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/key","1","KEY CHAIN 1.0
 – DNM.EG","23","231","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-0","1","JERSEY 1.0
 – DNM.EG","20","200","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-2","1","JERSEY 1.2
 – DNM.EG","20","200","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-3","1","JERSEY 1.3
 – DNM.EG","20","200","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0-pack-of-3","1","SOCKS 1.0 (PACK OF 3) up
 – DNM.EG","34","337","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-grey","1","PERFECT BAGGY JEANS (GREY)
 – DNM.EG","36","384","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-2","1","ZIP-UP 1.2
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-4","1","ZIP-UP 1.4
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-blue","1","PERFECT BAGGY JEANS (BLUE)
 – DNM.EG","36","383","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-3","1","ZIP-UP 1.3
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-0","1","ZIP-UP 1.0
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-5","1","ZIP-UP 1.5
 – DNM.EG","20","191","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1-pack-of-3","1","SOCKS 1.1 (PACK OF 3)
 – DNM.EG","31","310","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-2","1","JEANS 1.2
 – DNM.EG","19","192","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0","1","SOCKS 1.0
 – DNM.EG","19","194","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1","1","SOCKS 1.1
 – DNM.EG","19","194","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-6","1","JEANS 1.6
 – DNM.EG","19","192","قابل للفهرسة",""
"https://dnmeg.com/products/cap-1-2","1","Cap 1.0
 – DNM.EG","17","165","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-1","1","SLEEVELESS 1.1
 – DNM.EG","24","245","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-0","1","SLEEVELESS 1.0
 – DNM.EG","24","245","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-black","1","PERFECT BAGGY JEANS (BLACK)
 – DNM.EG","37","398","قابل للفهرسة",""
