url,status,title,description,h1,images_count,links_in,links_out,schema
https://dnmeg.com,200,DNM.EG,DRESS BEYOND LIMITS.,,10,15,2,✅
https://dnmeg.com/collections/all,200,"Products
 – DNM.EG",,,12,22,2,✅
https://dnmeg.com/collections/winter,200,"WINTER
 – DNM.EG",,,14,25,2,✅
https://dnmeg.com/collections/jeans,200,"Jeans
 – DNM.EG",,,7,18,2,✅
https://dnmeg.com/collections/accessories,200,"ACCESSORIES
 – DNM.EG",,,8,19,2,✅
https://dnmeg.com/pages/contact,200,"Contact
 – DNM.EG",,Contact,1,12,2,✅
https://dnmeg.com/products/tee-v1,200,"TEE V1
 – DNM.EG",,TEE V1,6,13,2,✅
https://dnmeg.com/products/tee-v2,200,"TEE V2
 – DNM.EG",“HEARTLESS”  (THEWORKSHOPXX X DNM COLLECTION),TEE V2,6,13,2,✅
https://dnmeg.com/products/jeans-1-9,200,"Jeans 2.0
 – DNM.EG",,Jeans 2.0,6,13,2,✅
https://dnmeg.com/search,200,"Search
 – DNM.EG",DRESS BEYOND LIMITS.,Search,1,12,2,✅
